"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"AAXYYH9MI3PJM","sp_v3_real2","3SB4CE2TJVWBV2D6HO5HHWPK0S1XAX","0","0","4","4","6","2","0","11","0","11","116","390","0","-16","2017-06-21 18:22:42","9718"
"AMDPJ713Z3IJL","sp_v3_real2","3EICBYG644XYTX5FKYM7WI7TPX8CJR","0","0","4","3","7","0","1","40","2","7","40","588","0","-120","2017-06-21 18:22:43","9719"
"A2O4RICIH4QZU9","sp_v3_real2","3GGAI1SQEVZOU5B0NVZZCAZATR3CMV","1","0","3","4","5","1","0","22","1","2","51","1660","1","69","2017-06-21 18:22:43","9720"
"A36A510EEJ0NOC","sp_v3_real2","3F6HPJW4JD171ZDCU4GG9VSFF242W3","0","0","4","1","8","0","1","36","1","16","90","1769","0","-132","2017-06-21 18:22:44","9721"
"A3UAO2LYUPO7L6","sp_v3_real2","354P56DE9K4LGJT9GBNA8X62K5U7S9","1","1","2","4","4","0","1","0","0","0","116","2038","0","-4","2017-06-21 18:22:44","9722"
"A22J1U3RTB7TG4","sp_v3_real2","323Q6SJS8IH953UZN09NSBCH9IWHF2","1","1","2","3","3","2","0","45","2","16","107","1030","1","7","2017-06-21 18:22:45","9723"
"A9YN0N476F6PR","sp_v3_real2","39ASUFLU6X8ELFUIXT73DFFBL7ZXES","0","0","4","1","5","1","0","39","2","8","111","359","0","-45","2017-06-21 18:22:45","9724"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","1","0","17","1","7","118","1728","0","-16","2017-06-21 18:22:45","9725"
"A1NBHHH443OZPE","sp_v3_real2","3VHP9MDGRNLIOVJJ18VMHKF1WQRCFO","0","1","4","3","8","2","0","36","2","3","120","1043","0","0","2017-06-21 18:22:46","9726"
"A3GEHH49HNJM57","sp_v3_real2","3NJM2BJS4W7UF88DFBRRTET5YWECPR","1","0","2","1","6","0","0","50","2","10","110","1019","0","-18","2017-06-21 18:22:48","9727"
"AAXYYH9MI3PJM","sp_v3_real2","3SB4CE2TJVWBV2D6HO5HHWPK0S1XAX","0","0","4","4","6","2","0","12","0","12","116","278","0","-16","2017-06-21 18:22:48","9728"
"ALL5YYZDJ4FB2","sp_v3_real2","3LQ8PUHQFLTTFUWPO8F8V8P9PAOHIT","1","0","1","1","5","1","0","44","2","4","103","9911","1","-1","2017-06-21 18:22:50","9729"
"AMDPJ713Z3IJL","sp_v3_real2","3EICBYG644XYTX5FKYM7WI7TPX8CJR","0","0","4","3","7","0","1","41","2","8","44","883","0","-124","2017-06-21 18:22:51","9730"
"A2O4RICIH4QZU9","sp_v3_real2","3GGAI1SQEVZOU5B0NVZZCAZATR3CMV","1","0","3","4","5","1","0","23","1","3","48","1105","1","72","2017-06-21 18:22:51","9731"
"A22J1U3RTB7TG4","sp_v3_real2","323Q6SJS8IH953UZN09NSBCH9IWHF2","1","1","2","3","3","2","0","46","2","17","105","877","1","9","2017-06-21 18:22:52","9732"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","1","0","18","1","8","118","325","0","-16","2017-06-21 18:22:52","9733"
"A1NBHHH443OZPE","sp_v3_real2","3VHP9MDGRNLIOVJJ18VMHKF1WQRCFO","0","1","4","3","8","2","0","37","2","4","120","750","0","0","2017-06-21 18:22:53","9734"
