"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A13PXTFOXDCKBF","sp_v3_real2","3XIQGXAUMC9TC0F8ALTX75NUZKW7XH","1","1","2","1","6","1","0","13","0","13","113","566","0","0","2017-06-21 18:26:24","9913"
"A3UAO2LYUPO7L6","sp_v3_real2","354P56DE9K4LGJT9GBNA8X62K5U7S9","1","1","2","4","4","0","0","17","0","17","116","2840","0","-4","2017-06-21 18:26:25","9914"
"A3KT7FHYY6PF2P","sp_v3_real2","3OSWBBLG1EY9T9GI1YWJ7XXQLVZXD0","1","1","3","3","4","0","0","19","1","6","152","425","0","-39","2017-06-21 18:26:25","9915"
"AY5OS6NZWVX22","sp_v3_real2","3F0BG9B9MPOIC55IFHFZQJU31QQ7YN","1","0","4","1","5","2","0","5","0","5","96","1948","1","24","2017-06-21 18:26:26","9916"
"A3KT7FHYY6PF2P","sp_v3_real2","3OSWBBLG1EY9T9GI1YWJ7XXQLVZXD0","1","1","3","3","4","0","0","20","1","7","152","412","0","-39","2017-06-21 18:26:32","9917"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","2","0","27","2","2","118","293","0","-16","2017-06-21 18:26:35","9918"
"A1K8QNLYYYX21W","sp_v3_real2","3YDGXNSEOZV6ECWH0FJYOUMRH9X84Q","0","0","1","1","5","2","1","0","0","0","116","4699","1","-2","2017-06-21 18:26:36","9919"
"AY5OS6NZWVX22","sp_v3_real2","3F0BG9B9MPOIC55IFHFZQJU31QQ7YN","1","0","4","1","5","2","0","6","0","6","92","1640","1","28","2017-06-21 18:26:37","9920"
"AVPKE76DJLWK6
","sp_v3_real2","324G5B4FB39LFA9X794QYR0JPDB07F","1","1","4","2","7","1","0","16","1","3","114","8943","0","-3","2017-06-21 18:26:38","9921"
"A13PXTFOXDCKBF","sp_v3_real2","3XIQGXAUMC9TC0F8ALTX75NUZKW7XH","0","1","2","1","6","0","0","14","1","0","113","2764","0","0","2017-06-21 18:26:42","9922"
