"subject","version","assignmentId","gender","bonus","instructions_time","total_time","comments","timestamp","id"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","Male","170","65296","539132","My strategy was pretty much do the same thing that my partner was doing. Good study. ","2017-05-26 17:20:25","2"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","Female","235","136710","450630","I just went with what I thought was right","2017-05-26 17:27:50","3"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","Male","100","48137","272291","I was vindictive when a choice was made to lower my points.  Otherwise, I chose -0-.  I don't see how anyone could think it would be a good idea to choose differently.","2017-05-26 17:29:48","4"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","Female","215","193215","451402","Thank you. My strategy was to try and take away from the other player.","2017-05-26 17:33:53","5"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","Male","290","31166","207052","I just tried to minimize my losses.","2017-05-26 17:33:54","6"
"A2AMQX0BQZXG9N","sp_v1","3OF2M9AATGP6CAM7UX6R8V8RBJCKZ7","Female","200","39068","321729","Eh.  Random, basically.","2017-05-26 17:39:44","7"
"A3843S9LWPDN2K","sp_v1","326O153BMIZ0N9P16T6RJ8CJ346DEH","Female","120","90695","374800","At the end, it was just to minimize my losses.","2017-05-26 17:47:55","8"
"A2PBRGT71DUYOY","sp_v1","3DBQWDE4Y6Z9D2NLKMRRBJI04F95NQ","Female","379","61256","306108","Try not to lose anyone points.","2017-05-26 17:52:49","9"
"A7KLTVEIASF4J","sp_v1","3P1L2B7AD1Q5XCQIDO7B7XE2GFHLOC","Male","279","235485","1462333","Way longer than 5 minutes, lie and underpaid","2017-05-26 18:33:51","10"
"ALSJ5JQPC3A82","sp_v1","3A0EX8ZRN8P5EH88SYRFVLGZIVDBY1","Female","230","42102","237862","i tried to minimize my losses","2017-05-26 19:04:32","11"
"A1I9ZBV75AVWUS","sp_v1","3NXNZ5RS1AY3B4XA75NJR21CQW197O","Male","389","60519","262834","My strategy was to not make my partner angry by taking points, and keeping the points I had.","2017-05-26 19:05:05","12"
"A1UGD2VEVSML1U","sp_v1","3SUWZRL0MYE120AMW6YDD22RMIX6EW","Male","349","48256","267378","Thanks! If he deducted me, I deduct him since he did it to me. If he did it properly we'd have made more but he didn't want that.","2017-05-26 19:05:20","13"
"A1A3TGZ7DKJWRW","sp_v1","3IQ1VMJRYTLLU6V8E8Z31T32R479AF","Male","290","43424","233552","I wanted to maximize my income","2017-05-26 19:05:50","14"
"ALXPXFJ81RYE4","sp_v1","3LEIZ60CDJ0MVE3GQ0F2IMUB0PDZ95","Female","218","55447","315914","My strategy was not to keep losing since I didn't have a lot to gain. ","2017-05-26 19:05:55","15"
"A1APYLD4DUK33J","sp_v1","33FOTY3KEMMRYGPBU9G1SIB7TV4C1B","Male","290","80482","312901","I went with what I thought would get me the most points. I didn't think trying to punish the other player would be effective.","2017-05-26 19:06:04","16"
"A37S96RT1P1IT2","sp_v1","3NL0RFNU0FOQ9DYI94G1EZVIAON4KT","Female","380","65488","289353","No comments. I just tried to act the same way my partner did.","2017-05-26 19:06:26","17"
"A2M9SHUAK34WDT","sp_v1","3NS0A6KXC491AOQO46LCA3GY428ZGW","Male","389","109888","325043","If they screwed me over, I would screw them over.","2017-05-26 19:06:49","18"
"A1D3C4MYGXJSU9","sp_v1","3ZQIG0FLQEHGYQBEIE0RB0PQAFSWVS","Female","160","83128","315929","None","2017-05-26 19:07:12","19"
"AD1ILDUXZHASF","sp_v1","37TRT2X24QSFJSD96YQCLY1B5R4JBF","Male","349","33426","382523",,"2017-05-26 19:07:14","20"
"A1IYCRA62VYFZK","sp_v1","36PW28KO4ZX2P2MPMJFPT74DI1NEAU","Male","380","87133","394274","Choosing 0 for everybody was the best strategy for both players.  There was really no incentive to do otherwise.","2017-05-26 19:07:59","21"
"A3NLX8S3UXGXVA","sp_v1","3RKNTXVS3MZKX0PWXD3CKLSM5CT4AE","Male","350","41803","405337","punish","2017-05-26 19:08:07","22"
"A1LRJ4U04532TM","sp_v1","3BV8HQ2ZZW2YCNTAG1WRHJC013Z6A1","Female","389","76199","322458","I tried to keep it even, and then correct the greedy behavior of the 2nd partner.","2017-05-26 19:08:15","23"
"ACZJ30L5U694Z","sp_v1","3RANCT1ZVFIOX8O3IXUQS0AMM72BU3","Male","248","48933","251746","My strategy was to do the least damage to the other person until it went too far and then I had to do some measures against them.","2017-05-26 19:09:22","24"
"AEF94JKX6FG92
","sp_v1","36WLNQG78ZB78CRHSXFLOIOJ0J8EBP","Female","250","111012","472349","I am not someone who retaliates when I deal with someone who is inconsiderate. Their behavior won't affect mine. The only way for me to choose something that wasn't hurting me or the other person was limited and that's what I chose whatever they were choosing.

The gist is: don't let someone else dictate how you should act. So I acted as I would whether the person was nice or not.","2017-05-26 19:09:23","25"
"A2R794P3E8X0MK","sp_v1","3PJUZCGDJ6H7BI2THAFP52X71G798B","Female","235","89028","378376","In the first round it was to punish the other person for not understanding how to gain the maximum points for both players.  In the second with the first choice it made since to pick zero for both as this would benefit both players by not gaining or losing, which would likely be done by the other person.  ","2017-05-26 19:09:24","26"
"A1ZKNQJO513B3W","sp_v1","3ND9UOO81K3D2LZK4AYLORROJHQWL9","Male","160","61523","317258","My strategy was to try to have the most money I could at the end, so I continued to choose 0 for all. I got angry at first and tried to retaliate but noticed my money going further and further down. ","2017-05-26 19:09:40","27"
"A25D8MUZP7CQEY","sp_v1","3LO69W1SU3EH5Z9KP5U32O50PT1GLV","Male","216","281528","558197",,"2017-05-26 19:10:22","28"
" A154B3Q5DTHN7","sp_v1","3IXQG4FA2TZQDG00KMZZW4N89MS9BA","Male","266","121045","475747","The strategy was to get as many points as possible.  I did start out by being nice, but the response was always the same, to take points away from me.","2017-05-26 19:10:35","29"
"A1VE6XGZ47GGS
A1VE6XGZ47GGS
A","sp_v1","3VBEN272MK049C4A9ER4EAJVHN9GS9","Female","160","48159","481059","i picked at random","2017-05-26 19:10:40","30"
"A1HK4I1TCQJR6P","sp_v1","320DUZ38G7NBA9LKMKIQM9S8L4WGJT","Male","340","81904","388240","Try to not go lower.","2017-05-26 19:10:46","31"
"AGFWV1U4CJXP5



","sp_v1","3OONKJ5DKCKTK346MBIHTUIX4LEBOQ","Female","100","137047","380894",,"2017-05-26 19:11:53","32"
"A1F4N58CAX8IMK","sp_v1","3180JW2OT4DDUCW05OZZIC1JVVIJ5E","Male","218","79294","437770","I tried to do what was best, or exact revenge. I think revenge won out for the first round.","2017-05-26 19:12:37","33"
"A34ZP0QJMB8X45","sp_v1","3JV9LGBJWTFPBKCH2XAVU59UKY6GOC","Male","359","148246","516084","It was a bum deal for both of us, so I was mostly fair. But when I felt I was being attacked by the second player, then I chose to take points away.","2017-05-26 19:14:59","34"
"A149ROBL26JWPJ","sp_v1","379J5II41OHJLLDTJA4F2LKOCDNELD","Male","349","52825","273422","I found it was better to choose the options that involved ""inaction"" (B/D), so I eventually started exclusively picking those.","2017-05-26 19:15:53","35"
"A18SXC3JEN1O0U","sp_v1","3OVHNO1VE62YY4GX2GK44ID1RASZDM","Male","230","157397","651434","I decided to stop giving away points hoping it would increase my bonus.","2017-05-26 19:16:59","36"
"A1Y5K712AYZEH2","sp_v1","3DQQ64TANGM3T6EIW2RS5808ORRWP7","Female","235","107355","424184","My strategy was to lose as little money as possible when I picked first by making it so that my partner didn't lose any money and have a reason to pick the choice that would cause both of us to lose some. When I picked second, it was just to pay them back for trying to gain ten and not working together with me.","2017-05-26 19:18:16","37"
"A3ACUGH5N9VQO2","sp_v1","30MVJZJNHMEWVZYC8ECGUS6LHR1J95","Female","250","59625","246782","I tried to reduce my loss as much as possible.","2017-05-26 19:18:28","38"
"A2LFT9N17HS9FX","sp_v1","3B1NLC6UGZX7WKOIHXNAJ5EKU32GPT","Male","150","60136","280344","none","2017-05-26 19:18:40","39"
"AJR127W5XWDQM","sp_v1","34PGFRQONOC77VBK1PM88CEWFSLWJ7","Male","150","217365","443111","Go for the one that maximizes for both. But Ryan was being annoying and kept picking option A, so we netted -20 every turn. Nice job Ryan. ","2017-05-26 19:19:04","40"
"A3I6BRC06LZA5Z","sp_v1","3JRJSWSMQHM25HN4D40F6ZQ7CRVE3Y","Male","281","94246","414961","most players are selfish","2017-05-26 19:21:11","41"
"A2NAKIXS3DVGAA","sp_v1","30BUDKLTXDW5JWA8RNO8LWORQNME5O","Male","249","45351","256019","No. I tried to maximize my earnings.","2017-05-26 19:21:52","42"
"A2NA2OJT15COZY","sp_v1","3OVHNO1VE62YY4GX2GK44ID1RATDZ1","Male","250","48293","244625","I didn't want to punish the other players.","2017-05-26 19:23:31","43"
"ADT6AD3LK64AH","sp_v1","39GHHAVOMFSVYTS0RJGPDKV5VZN4JU","Male","200","409407","590165","na","2017-05-26 19:23:45","44"
"A3E3RCR51Z8EVP","sp_v1","3GS6S824SQY3QL25GNE01JVDOCQWNB","Female","369","127486","347572","to try and keep as many points as possible","2017-05-26 19:24:40","45"
"A3KC26Z78FBOJT","sp_v1","3Z2R0DQ0JHFDKZRL94MANPLF6DVE2N","Male","236","108345","468551","In the first round I went 2nd and the other person continued to choose +10 for him and -10 for me. I chose 0 for each of us once, but he continued to choose +10/-10 so I began to choose -1/-30 for him. In the 2nd round I went first and both myself and my partner chose 0/0 each time, understanding that it would not hurt either of us.","2017-05-26 19:26:15","46"
"A34FJBQDKVH8SR","sp_v1","3DIP6YHAPCTO6ETAPLVBXGYISDNE8Q","Male","290","40096","441665","This study was interesting.","2017-05-26 19:30:40","47"
"A3K7UC7LUKV0ZV","sp_v1","30BXRYBRP4YBGPGUDPJNWZYH20HWH2","Male","235","55132","373842","In the first round, I didn't have anything to gain by choosing option B - I just kept punishing Sam because he kept taking points away. In round 2, I didn't want to punish the other player because I knew that he could take my score down faster than I could build it up.","2017-05-26 19:30:55","48"
"A3JTMXHPNCUFNX","sp_v1","308XBLVESI5WHGWME3ZLNPN2F8YBRZ","Female","150","44895","256964","I wanted mostly to not lose points and tried to be fair","2017-05-26 19:39:48","49"
"A2VRDE2FHCBMF8","sp_v1","3DHE4R9OCWCB4DNCFZCYNS6RJTA2GS","Male","240","114354","445687","I punished the first Mturker (you sure it was a human, right?!) and I kept my points with the second Mturker (he was alway a human, right?!) :)","2017-05-26 19:43:36","50"
"A22DP0ST9DWG9O","sp_v1","3WYP994K17SZ85RDW7A7K5U74V8Y6B","Male","236","266062","637595","To maximize points.  The only way to really do this was to choose the option that did not alter the starting amount.  The first person I played against did not seemed to understand this and kept choosing the option to take 10 points from me at which point I tool 30 from him.  He kept at it.","2017-05-26 19:46:29","51"
"A10XW6SNPNQX16","sp_v1","3WMINLGALB4NS42BQS9U3J4AXQHCA8","Female","216","56856","307884","I would choose -30 for the partner if they chose to penalize me and vice nersa","2017-05-26 19:46:51","52"
"APO6KZZ79PO9Q","sp_v1","3AQF3RZ558JT8EAIRHIJVKNRYJC6FE","Male","277","84401","618779","THE GAME IS VERY DIFFICULT TOP USE AN STRATEGY ","2017-05-26 19:48:42","53"
