"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","0","1","2","2","6","0","1","31","1","13","224","10","0","-32","2017-06-21 15:50:52","5393"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","35","2","4","180","1121","0","20","2017-06-21 15:50:55","5394"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","0","1","2","4","6","1","0","25","1","9","200","294","0","0","2017-06-21 15:50:56","5395"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","1","0","1","4","3","0","0","22","1","2","200","1094","0","0","2017-06-21 15:50:57","5396"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","0","1","2","2","6","0","1","32","1","14","226","156","0","-34","2017-06-21 15:50:58","5397"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","28","2","6","169","305","1","-18","2017-06-21 15:50:58","5398"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","36","2","5","180","959","0","20","2017-06-21 15:51:02","5399"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","0","1","2","4","6","1","0","26","1","10","200","429","0","0","2017-06-21 15:51:02","5400"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","29","2","7","165","280","1","-21","2017-06-21 15:51:04","5401"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","1","0","1","4","3","0","0","23","1","3","200","661","0","0","2017-06-21 15:51:05","5402"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","0","1","2","2","6","0","1","33","1","15","228","189","0","-36","2017-06-21 15:51:08","5403"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","37","2","6","180","1002","0","20","2017-06-21 15:51:09","5404"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","0","1","2","4","6","1","0","27","1","11","200","254","0","0","2017-06-21 15:51:09","5405"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","30","2","8","161","357","1","-24","2017-06-21 15:51:11","5406"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","1","0","1","4","3","0","0","24","1","4","200","623","0","0","2017-06-21 15:51:13","5407"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","38","2","7","180","1024","0","20","2017-06-21 15:51:17","5408"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","0","1","2","2","6","0","1","34","1","16","230","129","0","-38","2017-06-21 15:51:17","5409"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","31","2","9","157","372","1","-27","2017-06-21 15:51:18","5410"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","1","0","1","4","3","0","0","25","1","5","200","420","0","0","2017-06-21 15:51:20","5411"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","0","1","2","2","6","0","1","35","1","17","232","106","0","-40","2017-06-21 15:51:23","5412"
