"subject","version","assignmentId","role","stealCond","punCond","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","0","1","-1","2","0","0","0","0","100","3767","0","0","2017-05-30 00:41:39","13703"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","0","1","-1","2","0","1","0","1","100","935","0","0","2017-05-30 00:41:46","13705"
"A20J7F7PKEZZV2","sp_v2_s","3ATTHHXXWAPQ1KW4TCXUYUD3BKQXIN","0","1","-1","2","1","24","2","4","61","1470","1","-11","2017-05-30 00:41:53","13707"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","0","1","-1","2","0","2","0","2","100","680","0","0","2017-05-30 00:41:53","13708"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","13","1","0","97","5438","0","-2","2017-05-30 00:41:57","13710"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","0","1","-1","2","0","3","0","3","100","1009","0","0","2017-05-30 00:42:02","13713"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","14","1","1","97","388","0","-2","2017-05-30 00:42:06","13714"
"A20J7F7PKEZZV2","sp_v2_s","3ATTHHXXWAPQ1KW4TCXUYUD3BKQXIN","0","1","-1","2","0","25","2","5","61","2897","0","-11","2017-05-30 00:42:07","13717"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","0","1","-1","2","0","4","0","4","100","424","0","0","2017-05-30 00:42:10","13718"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","15","1","2","97","467","0","-2","2017-05-30 00:42:12","13719"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","0","1","-1","2","0","5","0","5","100","688","0","0","2017-05-30 00:42:16","13721"
"A20J7F7PKEZZV2","sp_v2_s","3ATTHHXXWAPQ1KW4TCXUYUD3BKQXIN","0","1","-1","2","1","26","2","6","59","2496","1","-14","2017-05-30 00:42:18","13723"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","16","1","3","97","68","0","-2","2017-05-30 00:42:18","13724"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","17","1","4","97","51","0","-2","2017-05-30 00:42:24","13726"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","0","1","-1","2","0","6","0","6","100","1082","0","0","2017-05-30 00:42:26","13727"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","18","1","5","97","26","0","-2","2017-05-30 00:42:29","13729"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","1","1","-1","1","1","0","0","0","97","7718","1","-2","2017-05-30 00:42:31","13730"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","0","1","-1","2","0","7","0","7","100","704","0","0","2017-05-30 00:42:33","13732"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","19","1","6","97","132","0","-2","2017-05-30 00:42:35","13733"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","1","1","-1","1","1","1","0","1","96","245","0","-6","2017-05-30 00:42:38","13734"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","0","1","-1","2","0","8","0","8","100","477","0","0","2017-05-30 00:42:40","13735"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","20","1","7","97","11","0","-2","2017-05-30 00:42:41","13736"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","1","1","-1","1","1","2","0","2","95","321","0","-10","2017-05-30 00:42:45","13738"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","0","1","-1","2","0","9","0","9","100","1412","0","0","2017-05-30 00:42:49","13740"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","1","1","-1","1","1","3","0","3","94","303","0","-14","2017-05-30 00:42:51","13741"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","0","1","-1","2","0","10","0","10","100","461","0","0","2017-05-30 00:42:55","13744"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","21","2","0","97","3725","0","-2","2017-05-30 00:42:56","13745"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","1","1","-1","1","1","4","0","4","93","342","0","-18","2017-05-30 00:42:58","13746"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","22","2","1","97","82","0","-2","2017-05-30 00:43:01","13749"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","23","2","2","97","230","0","-2","2017-05-30 00:43:07","13752"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","1","1","-1","1","1","11","1","0","97","2090","1","-2","2017-05-30 00:43:11","13753"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","24","2","3","97","3252","0","-2","2017-05-30 00:43:16","13756"
"A3CJRJ5F32AVL4","sp_v2_s","3DZQRBDBSLG3F0SMEZKKVGUMDNRS3A","1","0","-1","1","0","0","0","0","99","5034","1","1","2017-05-30 00:43:18","13757"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","1","1","-1","1","0","12","1","1","97","448","0","-2","2017-05-30 00:43:18","13758"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","0","1","-1","2","1","5","1","0","91","9072","1","-21","2017-05-30 00:43:19","13759"
