"subject","version","assignmentId","role","stealCond","punCond","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A3EJ1M6L3HGI81","sp_v2_p","3QAPZX2QN4EET9CR1XNV20JBCH920N","0","-1","0","0","1","0","0","0","103","1737","0","-3","2017-05-30 00:01:13","5847"
"A3EJ1M6L3HGI81","sp_v2_p","3QAPZX2QN4EET9CR1XNV20JBCH920N","0","-1","0","0","1","1","0","1","106","771","0","-6","2017-05-30 00:01:25","5863"
"A3EJ1M6L3HGI81","sp_v2_p","3QAPZX2QN4EET9CR1XNV20JBCH920N","0","-1","0","0","1","2","0","2","109","480","0","-9","2017-05-30 00:01:33","5878"
"A3TTY62F3MXIK0","sp_v2_p","36W0OB37HWFFAKLZOC3UV3SZJ79ZHT","1","-1","0","0","0","0","0","0","100","20267","0","0","2017-05-30 00:01:35","5881"
"A3EJ1M6L3HGI81","sp_v2_p","3QAPZX2QN4EET9CR1XNV20JBCH920N","0","-1","0","0","1","3","0","3","112","497","0","-12","2017-05-30 00:01:39","5889"
"A11WCFPJSR5VZP","sp_v2_p","3QIYRE09Y3IAPKM2JZPF8T5JS45N11","0","-1","1","0","1","0","0","0","103","4038","0","-3","2017-05-30 00:01:43","5898"
"A3TTY62F3MXIK0","sp_v2_p","36W0OB37HWFFAKLZOC3UV3SZJ79ZHT","1","-1","0","0","0","1","0","1","100","1058","0","0","2017-05-30 00:01:44","5899"
"A3EJ1M6L3HGI81","sp_v2_p","3QAPZX2QN4EET9CR1XNV20JBCH920N","0","-1","0","0","1","4","0","4","115","355","0","-15","2017-05-30 00:01:45","5901"
"A3TTY62F3MXIK0","sp_v2_p","36W0OB37HWFFAKLZOC3UV3SZJ79ZHT","1","-1","0","0","0","2","0","2","100","1158","0","0","2017-05-30 00:01:53","5917"
"A3EJ1M6L3HGI81","sp_v2_p","3QAPZX2QN4EET9CR1XNV20JBCH920N","0","-1","0","0","1","5","0","5","118","523","0","-18","2017-05-30 00:01:53","5919"
"A11WCFPJSR5VZP","sp_v2_p","3QIYRE09Y3IAPKM2JZPF8T5JS45N11","0","-1","1","0","1","1","0","1","106","3435","0","-6","2017-05-30 00:01:55","5923"
"A2Z6NL0CTXY0ZB","sp_v2_p","3WRFBPLXRAP6ZN0H633YWMKGQOJN3T","0","-1","0","1","1","0","0","0","101","17741","1","-4","2017-05-30 00:02:00","5940"
"A3TTY62F3MXIK0","sp_v2_p","36W0OB37HWFFAKLZOC3UV3SZJ79ZHT","1","-1","0","0","0","3","0","3","100","599","0","0","2017-05-30 00:02:00","5941"
"A1BUBB41AO8TZ9","sp_v2_p","3PEIJLRY6TU82FG9IT19ZLMBQVOXWU","1","-1","1","0","0","0","0","0","100","7780","0","0","2017-05-30 00:02:00","5942"
"A3EJ1M6L3HGI81","sp_v2_p","3QAPZX2QN4EET9CR1XNV20JBCH920N","0","-1","0","0","1","6","0","6","121","1230","0","-21","2017-05-30 00:02:01","5943"
"A11WCFPJSR5VZP","sp_v2_p","3QIYRE09Y3IAPKM2JZPF8T5JS45N11","0","-1","1","0","1","2","0","2","109","1142","0","-9","2017-05-30 00:02:03","5952"
"A2VN3OJKI3R6HE","sp_v2_p","3U8YCDAGXPHVLSEC38DWYIHESNMQ0O","1","-1","1","1","1","0","0","0","96","5818","1","-1","2017-05-30 00:02:04","5953"
"A3EJ1M6L3HGI81","sp_v2_p","3QAPZX2QN4EET9CR1XNV20JBCH920N","0","-1","0","0","1","7","0","7","124","272","0","-24","2017-05-30 00:02:07","5965"
"A3TTY62F3MXIK0","sp_v2_p","36W0OB37HWFFAKLZOC3UV3SZJ79ZHT","1","-1","0","0","0","4","0","4","100","644","0","0","2017-05-30 00:02:08","5968"
"ALVNMQMD3Q3ZE","sp_v2_p","3NS0A6KXC491AOQO46LCA3GY47WZGU","0","-1","1","0","1","0","0","0","103","6844","0","-3","2017-05-30 00:02:09","5975"
"A1BUBB41AO8TZ9","sp_v2_p","3PEIJLRY6TU82FG9IT19ZLMBQVOXWU","1","-1","1","0","0","1","0","1","100","924","0","0","2017-05-30 00:02:10","5977"
"A2Z6NL0CTXY0ZB","sp_v2_p","3WRFBPLXRAP6ZN0H633YWMKGQOJN3T","0","-1","0","1","1","1","0","1","104","3631","0","-7","2017-05-30 00:02:11","5979"
"A11WCFPJSR5VZP","sp_v2_p","3QIYRE09Y3IAPKM2JZPF8T5JS45N11","0","-1","1","0","1","3","0","3","112","1140","0","-12","2017-05-30 00:02:11","5980"
"A256CNCYJ4PUH9","sp_v2_p","3MD9PLUKKIF7KG7ARAY70NPV5JIZN2","1","-1","1","1","1","0","0","0","96","4303","1","-1","2017-05-30 00:02:12","5985"
"A1O1FEM012YZLV","sp_v2_p","3UOUJI6MTDFVABR4NTM8HX1E5FDUXS","0","-1","1","0","0","0","0","0","100","2092","0","0","2017-05-30 00:02:14","5988"
"A3EJ1M6L3HGI81","sp_v2_p","3QAPZX2QN4EET9CR1XNV20JBCH920N","0","-1","0","0","1","8","0","8","127","322","0","-27","2017-05-30 00:02:14","5991"
"A3TTY62F3MXIK0","sp_v2_p","36W0OB37HWFFAKLZOC3UV3SZJ79ZHT","1","-1","0","0","0","5","0","5","100","403","0","0","2017-05-30 00:02:15","5994"
"A11WCFPJSR5VZP","sp_v2_p","3QIYRE09Y3IAPKM2JZPF8T5JS45N11","0","-1","1","0","1","4","0","4","115","838","0","-15","2017-05-30 00:02:18","6005"
"A2Z6NL0CTXY0ZB","sp_v2_p","3WRFBPLXRAP6ZN0H633YWMKGQOJN3T","0","-1","0","1","0","2","0","2","104","1839","0","-7","2017-05-30 00:02:20","6011"
"ALVNMQMD3Q3ZE","sp_v2_p","3NS0A6KXC491AOQO46LCA3GY47WZGU","0","-1","1","0","1","1","0","1","106","3537","0","-6","2017-05-30 00:02:21","6014"
"A1BUBB41AO8TZ9","sp_v2_p","3PEIJLRY6TU82FG9IT19ZLMBQVOXWU","1","-1","1","0","0","2","0","2","100","1082","0","0","2017-05-30 00:02:21","6016"
"A3TTY62F3MXIK0","sp_v2_p","36W0OB37HWFFAKLZOC3UV3SZJ79ZHT","1","-1","0","0","0","6","0","6","100","436","0","0","2017-05-30 00:02:21","6017"
"A2VN3OJKI3R6HE","sp_v2_p","3U8YCDAGXPHVLSEC38DWYIHESNMQ0O","1","-1","1","1","0","1","0","1","96","7995","0","-1","2017-05-30 00:02:22","6021"
"A16LZUEQ6JGHWA","sp_v2_p","3PW9OPU9PQLE0YX9XGRVG52LH9F21Q","1","-1","1","0","0","0","0","0","100","3940","0","0","2017-05-30 00:02:22","6022"
"A23JA6ICO4BPQ5","sp_v2_p","3URFVVM165JKF6RJOBATEIHPDFBUZP","0","-1","1","0","0","0","0","0","100","5207","0","0","2017-05-30 00:02:23","6023"
"A1O1FEM012YZLV","sp_v2_p","3UOUJI6MTDFVABR4NTM8HX1E5FDUXS","0","-1","1","0","0","1","0","1","100","2642","0","0","2017-05-30 00:02:23","6024"
"A256CNCYJ4PUH9","sp_v2_p","3MD9PLUKKIF7KG7ARAY70NPV5JIZN2","1","-1","1","1","0","1","0","1","96","4665","0","-1","2017-05-30 00:02:25","6034"
"A11WCFPJSR5VZP","sp_v2_p","3QIYRE09Y3IAPKM2JZPF8T5JS45N11","0","-1","1","0","1","5","0","5","118","793","0","-18","2017-05-30 00:02:25","6038"
"A3EJ1M6L3HGI81","sp_v2_p","3QAPZX2QN4EET9CR1XNV20JBCH920N","0","-1","0","0","1","9","0","9","130","386","0","-30","2017-05-30 00:02:27","6045"
"A2Z6NL0CTXY0ZB","sp_v2_p","3WRFBPLXRAP6ZN0H633YWMKGQOJN3T","0","-1","0","1","1","3","0","3","107","751","0","-10","2017-05-30 00:02:28","6051"
"A1BUBB41AO8TZ9","sp_v2_p","3PEIJLRY6TU82FG9IT19ZLMBQVOXWU","1","-1","1","0","0","3","0","3","100","431","0","0","2017-05-30 00:02:28","6052"
"A3TTY62F3MXIK0","sp_v2_p","36W0OB37HWFFAKLZOC3UV3SZJ79ZHT","1","-1","0","0","0","7","0","7","100","407","0","0","2017-05-30 00:02:28","6054"
"A1BQCCSQDNCZUD","sp_v2_p","3X87C8JFV6CVM1YOCAWG8ONXNF5SQD","0","-1","0","1","1","0","0","0","101","2192","1","-4","2017-05-30 00:02:29","6059"
"AHEY8IUUKIYSR","sp_v2_p","3ON104KXQKXH4DSZYIZ42APDX0K4WN","0","-1","0","0","1","0","0","0","103","7602","0","-3","2017-05-30 00:02:30","6060"
"A23JA6ICO4BPQ5","sp_v2_p","3URFVVM165JKF6RJOBATEIHPDFBUZP","0","-1","1","0","0","1","0","1","100","1004","0","0","2017-05-30 00:02:30","6063"
"A1O1FEM012YZLV","sp_v2_p","3UOUJI6MTDFVABR4NTM8HX1E5FDUXS","0","-1","1","0","0","2","0","2","100","1560","0","0","2017-05-30 00:02:31","6065"
