"subject","version","assignmentId","role","punCostly","oppPersistent","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A7KLTVEIASF4J","sp_v1","3P1L2B7AD1Q5XCQIDO7B7XE2GFHLOC","1","0","1","1","12","0","12","260","319","1","-170","2017-05-26 18:24:59","319"
"A7KLTVEIASF4J","sp_v1","3P1L2B7AD1Q5XCQIDO7B7XE2GFHLOC","1","0","1","0","13","0","13","250","182814","1","-160","2017-05-26 18:28:08","320"
"A7KLTVEIASF4J","sp_v1","3P1L2B7AD1Q5XCQIDO7B7XE2GFHLOC","1","0","1","1","14","0","14","239","590","1","-180","2017-05-26 18:28:15","321"
"A7KLTVEIASF4J","sp_v1","3P1L2B7AD1Q5XCQIDO7B7XE2GFHLOC","0","0","0","1","15","1","0","219","50100","1","-191","2017-05-26 18:29:19","322"
"A7KLTVEIASF4J","sp_v1","3P1L2B7AD1Q5XCQIDO7B7XE2GFHLOC","0","0","0","1","16","1","1","229","7190","0","-201","2017-05-26 18:31:42","323"
"A7KLTVEIASF4J","sp_v1","3P1L2B7AD1Q5XCQIDO7B7XE2GFHLOC","0","0","0","1","17","1","2","239","22735","0","-211","2017-05-26 18:32:13","324"
"A7KLTVEIASF4J","sp_v1","3P1L2B7AD1Q5XCQIDO7B7XE2GFHLOC","0","0","0","1","18","1","3","249","357","0","-221","2017-05-26 18:32:37","325"
"A7KLTVEIASF4J","sp_v1","3P1L2B7AD1Q5XCQIDO7B7XE2GFHLOC","0","0","0","1","19","1","4","259","381","0","-231","2017-05-26 18:33:06","326"
"A7KLTVEIASF4J","sp_v1","3P1L2B7AD1Q5XCQIDO7B7XE2GFHLOC","0","0","0","1","20","1","5","269","354","0","-241","2017-05-26 18:33:21","327"
"A7KLTVEIASF4J","sp_v1","3P1L2B7AD1Q5XCQIDO7B7XE2GFHLOC","0","0","0","1","21","1","6","279","684","0","-251","2017-05-26 18:33:39","328"
