"subject","version","assignmentId","role","stealCond","punCond","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A3GTIIFSMHAKRZ","sp_v2_c","392CY0QWG1SZ3I8U91VP1JG5IPM4IG","1","-1","1","0","0","0","0","0","100","2195","0","0","2017-05-30 00:00:25","5819"
"A3GTIIFSMHAKRZ","sp_v2_c","392CY0QWG1SZ3I8U91VP1JG5IPM4IG","1","-1","1","0","0","1","0","1","100","1026","0","0","2017-05-30 00:00:34","5821"
"A2LRYEBPK0K8K2","sp_v2_c","3COPXFW7XBDCY6K17O8PHX6D1P6KPX","0","-1","1","0","0","0","0","0","100","2473","0","0","2017-05-30 00:00:35","5822"
"A2LRYEBPK0K8K2","sp_v2_c","3COPXFW7XBDCY6K17O8PHX6D1P6KPX","0","-1","1","0","0","1","0","1","100","2807","0","0","2017-05-30 00:00:45","5825"
"A3GTIIFSMHAKRZ","sp_v2_c","392CY0QWG1SZ3I8U91VP1JG5IPM4IG","1","-1","1","0","0","2","0","2","100","1340","0","0","2017-05-30 00:00:46","5826"
" A2SNOG31ZZHXBS
","sp_v2_c","3QL2OFSM96JUCNW0ZWEZPPOAW1WCNG","1","-1","1","1","1","0","0","0","96","9129","1","-2","2017-05-30 00:00:47","5828"
"A2LRYEBPK0K8K2","sp_v2_c","3COPXFW7XBDCY6K17O8PHX6D1P6KPX","0","-1","1","0","0","2","0","2","100","852","0","0","2017-05-30 00:00:53","5830"
"A3GTIIFSMHAKRZ","sp_v2_c","392CY0QWG1SZ3I8U91VP1JG5IPM4IG","1","-1","1","0","0","3","0","3","100","940","0","0","2017-05-30 00:00:55","5832"
"A2OSXVGQUR6IL6","sp_v2_c","3IUZPWIU1O82IFH2JAMK9RE9UM9KWS","1","-1","0","1","1","0","0","0","97","3743","1","-2","2017-05-30 00:00:58","5833"
" A2SNOG31ZZHXBS
","sp_v2_c","3QL2OFSM96JUCNW0ZWEZPPOAW1WCNG","1","-1","1","1","0","1","0","1","96","2750","0","-2","2017-05-30 00:00:59","5834"
"AROEBUDI2L9G9","sp_v2_c","3LEIZ60CDJ0MVE3GQ0F2IMUB0U1Z93","1","-1","0","0","0","0","0","0","100","5218","0","0","2017-05-30 00:01:00","5836"
"A2LRYEBPK0K8K2","sp_v2_c","3COPXFW7XBDCY6K17O8PHX6D1P6KPX","0","-1","1","0","0","3","0","3","100","550","0","0","2017-05-30 00:01:00","5837"
"A3GTIIFSMHAKRZ","sp_v2_c","392CY0QWG1SZ3I8U91VP1JG5IPM4IG","1","-1","1","0","0","4","0","4","100","732","0","0","2017-05-30 00:01:04","5840"
"A2OSXVGQUR6IL6","sp_v2_c","3IUZPWIU1O82IFH2JAMK9RE9UM9KWS","1","-1","0","1","1","1","0","1","96","3141","0","-6","2017-05-30 00:01:09","5842"
" A2SNOG31ZZHXBS
","sp_v2_c","3QL2OFSM96JUCNW0ZWEZPPOAW1WCNG","1","-1","1","1","1","2","0","2","94","2648","0","-6","2017-05-30 00:01:10","5843"
"A2LRYEBPK0K8K2","sp_v2_c","3COPXFW7XBDCY6K17O8PHX6D1P6KPX","0","-1","1","0","0","4","0","4","100","3233","0","0","2017-05-30 00:01:10","5844"
"AROEBUDI2L9G9","sp_v2_c","3LEIZ60CDJ0MVE3GQ0F2IMUB0U1Z93","1","-1","0","0","0","1","0","1","100","578","0","0","2017-05-30 00:01:10","5845"
"A3GTIIFSMHAKRZ","sp_v2_c","392CY0QWG1SZ3I8U91VP1JG5IPM4IG","1","-1","1","0","0","5","0","5","100","844","0","0","2017-05-30 00:01:12","5846"
"A2LRYEBPK0K8K2","sp_v2_c","3COPXFW7XBDCY6K17O8PHX6D1P6KPX","0","-1","1","0","0","5","0","5","100","828","0","0","2017-05-30 00:01:17","5850"
"AROEBUDI2L9G9","sp_v2_c","3LEIZ60CDJ0MVE3GQ0F2IMUB0U1Z93","1","-1","0","0","0","2","0","2","100","784","0","0","2017-05-30 00:01:17","5851"
"A2YRYS17DU3A8R","sp_v2_c","3A4TN5196KJ22RAPWYJMK5REAPNCH7","1","-1","0","1","0","0","0","0","98","6226","1","2","2017-05-30 00:01:18","5852"
"A2OSXVGQUR6IL6","sp_v2_c","3IUZPWIU1O82IFH2JAMK9RE9UM9KWS","1","-1","0","1","1","2","0","2","95","2415","0","-10","2017-05-30 00:01:19","5854"
" A2SNOG31ZZHXBS
","sp_v2_c","3QL2OFSM96JUCNW0ZWEZPPOAW1WCNG","1","-1","1","1","0","3","0","3","94","2180","0","-6","2017-05-30 00:01:19","5855"
"A3GTIIFSMHAKRZ","sp_v2_c","392CY0QWG1SZ3I8U91VP1JG5IPM4IG","1","-1","1","0","0","6","0","6","100","559","0","0","2017-05-30 00:01:20","5857"
"A2LRYEBPK0K8K2","sp_v2_c","3COPXFW7XBDCY6K17O8PHX6D1P6KPX","0","-1","1","0","0","6","0","6","100","712","0","0","2017-05-30 00:01:24","5861"
"AROEBUDI2L9G9","sp_v2_c","3LEIZ60CDJ0MVE3GQ0F2IMUB0U1Z93","1","-1","0","0","0","3","0","3","100","756","0","0","2017-05-30 00:01:25","5862"
"A3GTIIFSMHAKRZ","sp_v2_c","392CY0QWG1SZ3I8U91VP1JG5IPM4IG","1","-1","1","0","0","7","0","7","100","1316","0","0","2017-05-30 00:01:28","5866"
"A2OSXVGQUR6IL6","sp_v2_c","3IUZPWIU1O82IFH2JAMK9RE9UM9KWS","1","-1","0","1","0","3","0","3","95","1986","0","-10","2017-05-30 00:01:28","5869"
" A2SNOG31ZZHXBS
","sp_v2_c","3QL2OFSM96JUCNW0ZWEZPPOAW1WCNG","1","-1","1","1","0","4","0","4","94","1812","0","-6","2017-05-30 00:01:28","5870"
"A2YRYS17DU3A8R","sp_v2_c","3A4TN5196KJ22RAPWYJMK5REAPNCH7","1","-1","0","1","0","1","0","1","96","2777","1","4","2017-05-30 00:01:29","5871"
"A18T67NDI2JK5Y","sp_v2_c","3RU7GD8VPOUAMPX9CXHR8JXNIJJPSJ","1","-1","0","1","0","0","0","0","98","2145","1","2","2017-05-30 00:01:31","5874"
"A2LRYEBPK0K8K2","sp_v2_c","3COPXFW7XBDCY6K17O8PHX6D1P6KPX","0","-1","1","0","0","7","0","7","100","1063","0","0","2017-05-30 00:01:32","5875"
"AROEBUDI2L9G9","sp_v2_c","3LEIZ60CDJ0MVE3GQ0F2IMUB0U1Z93","1","-1","0","0","0","4","0","4","100","816","0","0","2017-05-30 00:01:33","5877"
"A24J2M0AOAKFZH","sp_v2_c","3VD82FOHKQPCU8WC0BEC4EOFMB1COV","1","-1","1","0","1","0","0","0","98","5271","0","-4","2017-05-30 00:01:34","5879"
"A3GTIIFSMHAKRZ","sp_v2_c","392CY0QWG1SZ3I8U91VP1JG5IPM4IG","1","-1","1","0","0","8","0","8","100","690","0","0","2017-05-30 00:01:36","5883"
" A2SNOG31ZZHXBS
","sp_v2_c","3QL2OFSM96JUCNW0ZWEZPPOAW1WCNG","1","-1","1","1","1","5","0","5","92","1705","0","-10","2017-05-30 00:01:37","5885"
"A2OSXVGQUR6IL6","sp_v2_c","3IUZPWIU1O82IFH2JAMK9RE9UM9KWS","1","-1","0","1","1","4","0","4","94","3177","0","-14","2017-05-30 00:01:38","5887"
"ATHS9GUME1XCA","sp_v2_c","3W2LOLRXLBGXAJ0GKGCEMS6S27UKRP","1","-1","1","1","0","0","0","0","98","12405","1","2","2017-05-30 00:01:39","5888"
"AROEBUDI2L9G9","sp_v2_c","3LEIZ60CDJ0MVE3GQ0F2IMUB0U1Z93","1","-1","0","0","0","5","0","5","100","402","0","0","2017-05-30 00:01:40","5890"
"A2YRYS17DU3A8R","sp_v2_c","3A4TN5196KJ22RAPWYJMK5REAPNCH7","1","-1","0","1","0","2","0","2","94","1699","1","6","2017-05-30 00:01:42","5893"
