"subject","version","assignmentId","gender","bonus","instructions_time","total_time","comments","timestamp","id"
"A2B8HPIZDKYKDR","sp_v2_real2","3Y5140Z9DXHLSBUD7LND4HR09M4PIG","Male","89","49884","250495","Not lowering any of my points at any cost. I'm not going to cost myself money/points just to spite someone else. ","2017-05-30 15:00:50","542"
"A1CSDIX05PK9V","sp_v2_real2","33LKR6A5KEL8KXRMGVBRHSBBHNET1X","Male","96","40403","247643",,"2017-05-30 15:00:55","543"
"A3BOY7SUI425MK","sp_v2_real2","32SVAV9L3FAZF46SXZYTAG0GRI8A3M","Female","97","39775","243922",,"2017-05-30 15:01:04","544"
"A2T9GR0UCUVDXG","sp_v2_real2","3DY46V3X3PJ5NDHFGMV5H2IED0Y551","Male","98","47888","246194","I wanted to be as fair as possible.","2017-05-30 15:01:07","545"
"A2SD7GN80U31GW","sp_v2_real2","3483FV8BEEK97KY63M3CB1T2PLI26D","Female","96","43995","291685","I tested if Y would punish me for stealing and it seemed they did so it was safer to do option B. Then I punished the next person for stealing and it seemed to teach them not to do it, also.","2017-05-30 15:01:18","546"
"A1NM7ZPZ3NH412","sp_v2_real2","3WETL7AQWT929YUB237C25KUZ4753B","Female","73","68105","281315",,"2017-05-30 15:01:33","547"
"A3I40B0FATY8VH","sp_v2_real2","3E337GFOL997TZC51IAIFG9PUUBNGQ","Male","92","88562","302908","I chose the option where I didn't lose any points.","2017-05-30 15:01:35","548"
"A1PBRKFHSF1OF8","sp_v2_real2","3JNQLM5FT4NRQ51DQQ9E0KBZFG72LL","Female","87","51216","297978","I tried to be nice but realized it didn't work.","2017-05-30 15:01:38","549"
"A1UZA1IV1WXK06","sp_v2_real2","3E4GGUZ1T8SG6ZJV5QXDLKYKQG22KI","Male","88","82806","282143","I just wanted to maximize my score","2017-05-30 15:01:41","550"
"A2WC2NO555XU3J","sp_v2_real2","3ITXP059PWKE0EUBHKC7BNBB9L0SJB","Female","100","44168","254520","Thanks! My strategy was to keep my 100 points by always choosing the option that added/subtracted 0 points. ","2017-05-30 15:01:43","551"
"A1CFUMXK9QFT9M","sp_v2_real2","3EKVH9QMEY58STDLD9BQH73U6752D5","Female","96","50318","269933","No comments.  My strategy was to be fair to the other worker.","2017-05-30 15:01:44","552"
"A1KGM1B9XJELX","sp_v2_real2","34Z02EIMISE8D864KC7R3NS1CV8T0U","Male","72","42777","264056",,"2017-05-30 15:01:47","553"
"A3JTF21YTIRKV","sp_v2_real2","3C2NJ6JBKAIHE54Y23PTDCFOKB72NN","Male","93","78259","319502","I wanted to maximize my profit. ""Punishing"" the other player would just take money away from me.","2017-05-30 15:01:52","554"
"A1ZK3LRUC4ICY7","sp_v2_real2","3RYC5T2D73UYLAXWX8HMI9SRWINPRK","Male","93","70152","331888","Even though he kept subtracting my points, i didn't subtract his because in the end, I would just be hurting myself.","2017-05-30 15:01:58","555"
"A3HBMPB74FWI1","sp_v2_real2","3YZ8UPK3VTN77DG9WXQL3KG44YDCUY","Male","95","44033","235494",,"2017-05-30 15:02:04","556"
"A1CTJ8UT7SF317","sp_v2_real2","34QN5IT0TZSPFOEGHEWWCRWEYIO80L","Male","77","30816","221505","None","2017-05-30 15:02:09","557"
"A1OIPSWKV6DVUF","sp_v2_real2","31Q0U3WYDPGLMZUF3S8QCWJTSQO710","Male","100","92703","350639","My strategy was to avoid losing the bonus money, which would benefit both parties by simply not taking giving or taking away any money.","2017-05-30 15:02:11","558"
"A1PE4AWFGVLQS","sp_v2_real2","3K5TEWLKGVCYXVR9TXWCA9GIVA5VI7","Male","94","72203","279563",,"2017-05-30 15:02:19","559"
"A19A5BP9FN5KJM","sp_v2_real2","3DEL4X4EL6MCRKB9XUJXKI7R14BXYI","Male","87","78239","330459","Trying to lose the least amount of points per round!","2017-05-30 15:02:19","560"
"A2LGSV2MKHWA49","sp_v2_real2","3XXU1SWE8MW3YC7VECGA8I29O6OA0R","Female","81","67312","324324","At first, I wanted to get revenge on the first player for constantly taking points from me but then I figured it wasn't worth losing points for myself so I stopped. I used the same strategy for the second player.","2017-05-30 15:02:21","561"
"AO5WJXJED5LQO","sp_v2_real2","3UOUJI6MTDFVABR4NTM8HX1E5G0XUK","Female","82","71201","344425","none","2017-05-30 15:02:30","562"
"ATF7HBD1TFI2U","sp_v2_real2","3IHR8NYAM72RK4VYMWL9AGHH4444PH","Female","80","100697","358474","TRIED TO NOT LOSE ANY POINTS","2017-05-30 15:02:31","563"
"AMEX6UDG3WZWK","sp_v2_real2","3TUI152ZZBOVSHZUZRHWCN0OXGFQ1G","Male","92","69737","307533","My strategy was aiming for the less possible loss for myself, which was option d, and when I was X, I wanted the most points for me so I choose option A.  ","2017-05-30 15:02:36","564"
"A19JJ2RIRTWJOT","sp_v2_real2","3ZOTGHDK5ICS1PL8XX4CJJSX8FASOU","Female","78","31512","305627","NONE","2017-05-30 15:02:41","565"
"A2J7PEUIO2WVUN","sp_v2_real2","3PB5A5BD0V7IQEKILBTTJJNZUF77G0","Female","94","85257","313016","no comments just wanted to do my best","2017-05-30 15:02:42","566"
" A20HITED8LB7O5","sp_v2_real2","340UGXU9DY236MM9NELQTC4TP5SUVE","Female","92","54779","358988","At first it was to be selfish, then when I kept losing points I found it was better to pick 0 for both","2017-05-30 15:02:46","567"
"A1DWDCD4CHM68O","sp_v2_real2","3TY7ZAOG5FL9APGHQ3TZ2W55TII0KW","Male","95","67684","281948","If they took moneyu i took money if they didn't i didn't","2017-05-30 15:02:48","568"
"AM155T4U3RE1A","sp_v2_real2","3LOZAJ85YDEMQZI249C2BE6MMPH2X7","Female","100","79808","320625","I wanted to be fair and if my partner was fair then I was fair as well.","2017-05-30 15:02:49","569"
"ANZKTE853UXSD","sp_v2_real2","31HQ4X3T3SBKV4IBK5OKR2O3DA5SLD","Male","96","112874","376295","I tried to lose as little as possible","2017-05-30 15:02:51","570"
"A1TLNLB9D87H6","sp_v2_real2","3XM0HYN6NK09C6SRB2XMJ2T8HTXPE7","Female","89","54088","288609","I wanted to increase mine. Ideally I would have liked to be fair, but Ryan wasn't fair.","2017-05-30 15:02:56","571"
"AYO8W8NH3YEMS","sp_v2_real2","3LEIZ60CDJ0MVE3GQ0F2IMUB0VP9Z3","Male","92","88809","363957",,"2017-05-30 15:02:57","572"
"A1E41XK40MN4IJ","sp_v2_real2","3TGOYF991XN3T7X9IOBLXQ2ABYJUUP","Female","100","80773","319735","I wanted the other worker and myself to keep our bonus as high as we could so I decided to be fair to both of us.","2017-05-30 15:02:59","573"
"A2LDR8464HOYCM","sp_v2_real2","3HPZF4IVNMUOOM0E6YNA65MH0MOCYW","Male","79","55818","249235","get as man yponts as possible","2017-05-30 15:03:00","574"
"ARPBS72HUCKD4","sp_v2_real2","3L0KT67Y8EH4V3PA3KDALAQZMP9SY5","Female","96","54456","374199","My strategy was to test the other participant in a way by seeing if they would reciprocate by answering the same way I did. In general, I tried to minimize my losses by choosing the option that didn't result in a point deduction for either of us.","2017-05-30 15:03:02","575"
"AX851F24CYRGJ","sp_v2_real2","3PM8NZGV8YH3IIKN6K237W4P2VUXQF","Male","65","100854","373061","Loose a few points as possible for both","2017-05-30 15:03:03","576"
"A2S70WW1VAPKK8","sp_v2_real2","3L6L49WXW0YNRUDF2HCVCAC0D4354W","Female","92","58180","330983","I felt as everytime I would pick the first option it would take away points so I liked to pick the second option which gave both of us 0 points.","2017-05-30 15:03:03","577"
"A2MPW5P3ERJCN0","sp_v2_real2","33LK57MYLT640TZFZ6FTZHZ1SJDZS3","Male","100","102432","355581","My strategy was not to lose any points since it was hard to gain any points without causing a loss for my partner who might in turn punish me.  Therefore, since I started with 100 points, it wasn't worth the risk to just gain one measly point.","2017-05-30 15:03:10","578"
"A1KXG7W711GZDJ","sp_v2_real2","3F1567XTNW6DHM2P34WPRTI7VS3Q9P","Female","70","64564","364044","to have more or equal points","2017-05-30 15:03:13","579"
"A1LYER1YNFYHG7","sp_v2_real2","39L1G8WVWQS3LGTS1G50ZF7DNO231R","Male","78","68525","333689","Using +2/-1 when going first and 0/0 going second should have maximized everyone's bonus if everyone did this. I didn't want to remove my own bonus any lower by punishing opponents","2017-05-30 15:03:17","580"
"A1T3ROSW2LC4FG
","sp_v2_real2","3MD9PLUKKIF7KG7ARAY70NPV5K5ZNR","Female","88","99288","363312","minimize point loss","2017-05-30 15:03:18","581"
"A1YBX7P5PY8LL","sp_v2_real2","3YMTUJH0DSHPCWO53DUTFQIET7OT4A","Male","83","68989","366602","I wanted to maximize my points.","2017-05-30 15:03:20","582"
"A2SNMMSKX224GR","sp_v2_real2","3LBXNTKX0RWXQJ31PIRHL1E0SVR9X6","Male","73","119970","382617","To try and keep as many points as possible.","2017-05-30 15:03:29","583"
"A3DTENUPGXWB3F","sp_v2_real2","3X0H8UUIT1P06YUAOJVM0D5JBH9SW6","Male","85","77294","390813","I don't really have a strategy. In the first half, I felt I might as well just choose the net zero option, since there was no possible way I could get points after the first run of choices. The second half, I didn't feel like putting the other player at a disadvantage.","2017-05-30 15:03:36","584"
