"subject","version","assignmentId","gender","bonus","instructions_time","total_time","comments","timestamp","id"
"A15V8K8M4TXT9Y","sp_v3_pilot1","36PW28KO4ZX2P2MPMJFPT74DKKFEAQ","Male","76","83889","496818","Wanted to make as many points, and discourage the other person from taking away my points","2017-06-20 17:15:45","844"
"A3AO2N7BNFDGF3","sp_v3_pilot1","3DEL4X4EL6MCRKB9XUJXKI7R3HSYXS","Female","41","110629","618563","I tried to be fair with my partners. However, Ryan kept taking my points away so I returned the favor.","2017-06-20 17:23:25","845"
"A3PC7DYXJW4I2Z","sp_v3_pilot1","3PDJHANYK5HDMA1OM76JY5Z4GHH6H8","Male","116","72590","498317",,"2017-06-20 17:27:12","846"
"A1WXPOLDS1Y9R4","sp_v3_pilot1","3TMFV4NEP8FINEF1ALPHJM5I10K8WW","Male","133","263330","773105","I did my best to keep the points I have","2017-06-20 17:41:42","847"
"AE4FRGGT254D3","sp_v3_pilot1","3TR2532VIPV9DGWEA794AIFJT9LJ6Q","Male","59","82124","555444","none","2017-06-20 18:21:13","848"
