"subject","version","assignmentId","role","stealCond","punCond","oppPersistent","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"AGDJB8B8CDZ71","sp_v2","3GU1KF0O4I2B53G71BVWIUNNEUFBPK","0","1","0","1","0","7","0","7","100","565","0","0","2017-05-29 18:44:58","1579"
"A326ZLFMYPKTSR","sp_v2","3I3WADAZ9Q5RVNNXL1R4Q8I5UTXO5F","1","1","1","1","0","1","0","1","96","3564","1","4","2017-05-29 18:44:58","1580"
"A2GB0RI43KU4Z","sp_v2","379J5II41OHJLLDTJA4F2LKOCHRELP","0","1","1","1","0","6","0","6","100","1278","0","0","2017-05-29 18:44:58","1581"
"A35SC4D5YNJGOW","sp_v2","3SITXWYCNVAGECIYN25DC79QGTOXBU","1","1","0","1","1","0","0","0","97","7125","1","-2","2017-05-29 18:44:58","1582"
"A2H6RIWM50KWA4","sp_v2","3DUZQ9U6SMPNR9U5Y9QQEBM5462VSQ","1","1","1","1","0","0","0","0","98","6775","1","2","2017-05-29 18:44:59","1583"
"A3NVSZTO346FN","sp_v2","3UNH76FOCS61X8C5JNHO91RTUYMMYE","1","1","0","1","0","4","0","4","87","496","1","-2","2017-05-29 18:45:00","1584"
"A1H162QMRV01SA","sp_v2","3SPJ0334214BW06KGQ4WT9ZCQ4RYJM","0","1","0","1","0","2","0","2","98","1890","0","-3","2017-05-29 18:45:00","1585"
"A1E7H04DK5HXDL","sp_v2","39ZSFO5CA8XUFRMF6P77QOTZUGGUJK","1","1","1","1","1","1","0","1","94","1225","1","0","2017-05-29 18:45:00","1586"
"A34J6IBB4DGYP1","sp_v2","3N2BF7Y2VQVFBDMG9ND0N1WQ429MHF","0","0","0","1","1","4","0","4","85","1110","1","-10","2017-05-29 18:45:00","1587"
"A39VDI1CVOMMIN","sp_v2","3YMU66OBIN9FJ3QUYKF5AWCT8GXHG2","1","1","0","1","0","9","0","9","80","438","1","20","2017-05-29 18:45:01","1588"
"A1X258MWJFEMTW","sp_v2","39ASUFLU6X8ELFUIXT73DFFBJQ1XEU","1","1","0","1","0","2","0","2","93","1174","1","2","2017-05-29 18:45:01","1589"
"A3MMOZDMBZ8K42
","sp_v2","32Q90QCQ1SM81FVBYASENL79NHMEKM","0","0","1","1","0","2","0","2","100","3522","0","0","2017-05-29 18:45:02","1590"
"A13WGKUTP5127J","sp_v2","3GM6G9ZBKNY5GMDB9HUP1KZEFW4MTP","0","0","1","1","0","4","0","4","94","2002","0","-6","2017-05-29 18:45:02","1591"
"AY832D29HUURG
","sp_v2","39ASUFLU6X8ELFUIXT73DFFBJQ1EXB","1","0","0","1","1","10","0","10","78","659","1","-33","2017-05-29 18:45:02","1592"
"A2N4DD7IS7EI2D","sp_v2","3C8HJ7UOP7V12YMAF9J7N80V0SQZMI","0","1","0","1","1","0","0","0","98","5563","1","-3","2017-05-29 18:45:02","1593"
"A33NK36A94Y75Y","sp_v2","338JKRMM260E9CDRCKNVEA1QALKHAQ","0","0","0","1","0","11","0","11","88","1245","0","-8","2017-05-29 18:45:03","1594"
"A12VU5YSHGQH2V","sp_v2","3TS1AR6UQQFCCEONARNB1YNNTY27FS","1","0","1","1","0","0","0","0","99","1565","1","1","2017-05-29 18:45:03","1595"
"A22KRF782ELLB0","sp_v2","3G0WWMR1UVLY6O6J4EFU9UDR0FFNQC","0","0","0","1","0","0","0","0","100","4135","0","0","2017-05-29 18:45:03","1596"
"A39Q4SNT7SRK94","sp_v2","32KTQ2V7RDGMW74XBBP8AKY2LP1M9P","0","0","1","1","0","11","0","11","100","308","0","0","2017-05-29 18:45:03","1597"
