"subject","version","assignmentId","role","stealCond","punCond","oppPersistent","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A3NVSZTO346FN","sp_v2","3UNH76FOCS61X8C5JNHO91RTUYMMYE","1","1","0","1","1","0","0","0","97","7856","1","-2","2017-05-29 18:44:17","1472"
"A39VDI1CVOMMIN","sp_v2","3YMU66OBIN9FJ3QUYKF5AWCT8GXHG2","1","1","0","1","0","3","0","3","92","550","1","8","2017-05-29 18:44:18","1473"
"A4IH4CO046EV3","sp_v2","3M81GAB8A0KW5FHM1OALIZDXJQ1BQB","0","1","0","1","0","3","0","3","98","409","0","-3","2017-05-29 18:44:18","1474"
"A33NK36A94Y75Y","sp_v2","338JKRMM260E9CDRCKNVEA1QALKHAQ","0","0","0","1","0","4","0","4","91","1345","0","-6","2017-05-29 18:44:18","1475"
"A34J6IBB4DGYP1","sp_v2","3N2BF7Y2VQVFBDMG9ND0N1WQ429MHF","0","0","0","1","1","0","0","0","97","4506","1","-2","2017-05-29 18:44:19","1476"
"A2GB0RI43KU4Z","sp_v2","379J5II41OHJLLDTJA4F2LKOCHRELP","0","1","1","1","0","1","0","1","100","2672","0","0","2017-05-29 18:44:20","1477"
"A5BEH1IONAYMB","sp_v2","3L4D84MILZTPA5GV6Q08794908EHJ6","1","0","0","1","1","1","0","1","96","2053","1","-6","2017-05-29 18:44:20","1478"
"A1X5IZPCRLL0Z7","sp_v2","3QFUFYSY9YGFTR648TP4YM3D2WC4F5","0","1","1","1","0","3","0","3","100","785","0","0","2017-05-29 18:44:21","1479"
"A21UA6O7ZFAIQJ","sp_v2","3MD9PLUKKIF7KG7ARAY70NPV5I0NZ6","1","0","1","1","1","2","0","2","91","326","1","-9","2017-05-29 18:44:21","1480"
"A13WGKUTP5127J","sp_v2","3GM6G9ZBKNY5GMDB9HUP1KZEFW4MTP","0","0","1","1","0","0","0","0","100","2638","0","0","2017-05-29 18:44:23","1481"
"A39Q4SNT7SRK94","sp_v2","32KTQ2V7RDGMW74XBBP8AKY2LP1M9P","0","0","1","1","0","5","0","5","100","393","0","0","2017-05-29 18:44:23","1482"
"A3RHGIM99R25Q9","sp_v2","3NQL1CS15R9KNV6EXFIFWXA6LRYYV7","1","0","0","1","0","0","0","0","99","1737","1","1","2017-05-29 18:44:24","1483"
"A33NK36A94Y75Y","sp_v2","338JKRMM260E9CDRCKNVEA1QALKHAQ","0","0","0","1","0","5","0","5","91","44","0","-6","2017-05-29 18:44:24","1484"
"A4IH4CO046EV3","sp_v2","3M81GAB8A0KW5FHM1OALIZDXJQ1BQB","0","1","0","1","0","4","0","4","98","436","0","-3","2017-05-29 18:44:25","1485"
"AGDJB8B8CDZ71","sp_v2","3GU1KF0O4I2B53G71BVWIUNNEUFBPK","0","1","0","1","0","2","0","2","100","843","0","0","2017-05-29 18:44:25","1486"
"A39VDI1CVOMMIN","sp_v2","3YMU66OBIN9FJ3QUYKF5AWCT8GXHG2","1","1","0","1","0","4","0","4","90","662","1","10","2017-05-29 18:44:25","1487"
"AY832D29HUURG
","sp_v2","39ASUFLU6X8ELFUIXT73DFFBJQ1EXB","1","0","0","1","1","6","0","6","86","1768","1","-21","2017-05-29 18:44:26","1488"
"A1QEQOI98976S0","sp_v2","3F6HPJW4JD171ZDCU4GG9VSFDL5W2Y","0","0","1","1","1","0","0","0","97","3909","1","-3","2017-05-29 18:44:26","1489"
"A2GB0RI43KU4Z","sp_v2","379J5II41OHJLLDTJA4F2LKOCHRELP","0","1","1","1","0","2","0","2","100","1001","0","0","2017-05-29 18:44:28","1490"
"A21UA6O7ZFAIQJ","sp_v2","3MD9PLUKKIF7KG7ARAY70NPV5I0NZ6","1","0","1","1","1","3","0","3","88","317","1","-12","2017-05-29 18:44:28","1491"
"A3TJ3ORKWH4IYW","sp_v2","3IXEICO792K3RJSJM1N8CO2SPWPT6M","1","0","1","1","0","0","0","0","99","5738","1","1","2017-05-29 18:44:28","1492"
"A1X5IZPCRLL0Z7","sp_v2","3QFUFYSY9YGFTR648TP4YM3D2WC4F5","0","1","1","1","0","4","0","4","100","635","0","0","2017-05-29 18:44:28","1493"
"A39Q4SNT7SRK94","sp_v2","32KTQ2V7RDGMW74XBBP8AKY2LP1M9P","0","0","1","1","0","6","0","6","100","147","0","0","2017-05-29 18:44:29","1494"
"A5BEH1IONAYMB","sp_v2","3L4D84MILZTPA5GV6Q08794908EHJ6","1","0","0","1","1","2","0","2","94","1438","1","-9","2017-05-29 18:44:29","1495"
"A33NK36A94Y75Y","sp_v2","338JKRMM260E9CDRCKNVEA1QALKHAQ","0","0","0","1","0","6","0","6","91","68","0","-6","2017-05-29 18:44:30","1496"
"A34J6IBB4DGYP1","sp_v2","3N2BF7Y2VQVFBDMG9ND0N1WQ429MHF","0","0","0","1","1","1","0","1","94","3209","1","-4","2017-05-29 18:44:31","1497"
"A3RHGIM99R25Q9","sp_v2","3NQL1CS15R9KNV6EXFIFWXA6LRYYV7","1","0","0","1","0","1","0","1","98","447","1","2","2017-05-29 18:44:31","1498"
"A33AZCOKCCTUXV","sp_v2","3DYGAII7PL9Y99IWKTSMDJIM0UGQPB","1","0","1","1","1","0","0","0","97","16982","1","-3","2017-05-29 18:44:31","1499"
"A2541C8MY0BYV3","sp_v2","3IGI0VL647LVLCT3P1NQKPIRLEXNO4","0","0","0","1","1","6","0","6","79","565","1","-14","2017-05-29 18:44:31","1500"
"AGDJB8B8CDZ71","sp_v2","3GU1KF0O4I2B53G71BVWIUNNEUFBPK","0","1","0","1","0","3","0","3","100","467","0","0","2017-05-29 18:44:32","1501"
"A4IH4CO046EV3","sp_v2","3M81GAB8A0KW5FHM1OALIZDXJQ1BQB","0","1","0","1","0","5","0","5","98","660","0","-3","2017-05-29 18:44:32","1502"
"A3BGIK3STL9345","sp_v2","31JLPPHS2UVOH80T7I3BBBKLGX6O3P","1","0","0","1","0","0","0","0","99","2848","1","1","2017-05-29 18:44:32","1503"
"A39VDI1CVOMMIN","sp_v2","3YMU66OBIN9FJ3QUYKF5AWCT8GXHG2","1","1","0","1","0","5","0","5","88","550","1","12","2017-05-29 18:44:33","1504"
"AY832D29HUURG
","sp_v2","39ASUFLU6X8ELFUIXT73DFFBJQ1EXB","1","0","0","1","1","7","0","7","84","356","1","-24","2017-05-29 18:44:33","1505"
"A3MMOZDMBZ8K42
","sp_v2","32Q90QCQ1SM81FVBYASENL79NHMEKM","0","0","1","1","0","0","0","0","100","5845","0","0","2017-05-29 18:44:33","1506"
"A13WGKUTP5127J","sp_v2","3GM6G9ZBKNY5GMDB9HUP1KZEFW4MTP","0","0","1","1","0","1","0","1","100","2710","0","0","2017-05-29 18:44:33","1507"
"A3NVSZTO346FN","sp_v2","3UNH76FOCS61X8C5JNHO91RTUYMMYE","1","1","0","1","1","1","0","1","94","5608","1","-4","2017-05-29 18:44:35","1508"
"A2GB0RI43KU4Z","sp_v2","379J5II41OHJLLDTJA4F2LKOCHRELP","0","1","1","1","0","3","0","3","100","1364","0","0","2017-05-29 18:44:35","1509"
"A21UA6O7ZFAIQJ","sp_v2","3MD9PLUKKIF7KG7ARAY70NPV5I0NZ6","1","0","1","1","1","4","0","4","85","621","1","-15","2017-05-29 18:44:36","1510"
"A1X5IZPCRLL0Z7","sp_v2","3QFUFYSY9YGFTR648TP4YM3D2WC4F5","0","1","1","1","0","5","0","5","100","801","0","0","2017-05-29 18:44:36","1511"
